srcid,Q1,Q2,Q4,Q6a,Q6b,Q6c,Q6d,Q7a,Q7b,Q7c,Q7d,Q7e,Q10a,Q10b,Q10c,Q10d,sDevType,sOSName,gender
32,2,19,3,3,4,4,4,3,3,3,4,2,2,2,5,2,0,12,2
275,2,11,1,2,2,2,2,1,1,3,1,2,4,4,4,1,2,6,2
1180,2,-99,3,-99,4,3,4,3,3,3,3,2,4,4,4,4,1,1,2
1600,2,19,3,4,2,2,2,1,1,1,1,1,4,1,1,1,1,1,2
840,4,16,3,3,2,2,2,1,2,2,1,1,2,2,4,1,0,12,1
1483,2,11,2,3,4,3,2,2,2,3,2,2,2,2,2,2,1,1,2
3,4,5,1,2,2,2,2,1,1,1,1,1,4,4,5,5,-1,-1,2
1635,2,2,3,4,4,3,4,2,2,2,2,2,4,4,4,2,0,12,1
1604,2,13,3,5,5,2,5,1,1,1,2,1,4,4,4,4,-1,-1,2
21,4,11,2,5,2,5,4,4,1,1,1,1,1,1,3,1,-1,-1,2
2023,2,1,-98,4,4,3,3,3,3,4,4,4,1,2,2,4,0,12,2
1789,4,11,4,4,3,3,3,2,2,2,2,1,4,4,4,2,0,12,2
780,2,16,96,2,3,2,2,2,2,1,3,2,2,4,4,2,1,6,2
859,2,28,96,4,4,4,3,4,3,3,3,3,4,4,4,4,0,12,2
733,2,4,1,4,4,4,4,2,2,2,3,2,2,4,2,4,0,12,1
2355,1,1,1,5,5,5,5,3,1,4,2,2,4,5,5,5,-1,-1,2
750,5,19,1,3,3,3,2,2,2,2,2,2,4,4,4,4,1,6,1
1538,2,-98,96,3,2,3,2,1,1,3,2,2,4,4,4,2,0,12,2
2607,2,16,1,3,3,3,2,2,2,2,2,1,2,4,4,1,-1,-1,2
1052,3,36,8,4,3,2,2,2,2,2,1,1,3,4,4,4,-1,-1,2
977,4,11,3,3,2,3,2,2,2,1,2,1,5,5,5,1,0,12,2
466,4,13,1,4,4,5,2,3,2,3,3,1,2,4,4,2,-1,-1,2
537,4,13,1,5,3,4,3,3,1,2,3,3,2,2,4,1,-1,-1,2
1271,4,11,96,5,2,2,5,1,1,1,3,1,2,2,2,2,0,8,2
293,2,13,-98,3,4,4,5,2,2,3,3,3,2,2,2,2,0,12,2
